nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.896130800247192383e+00,2.886916160583496094e+00,2.877368927001953125e+00,2.867166519165039062e+00,2.863112449645996094e+00,2.854754924774169922e+00,2.856698036193847656e+00,2.853182792663574219e+00,2.847499132156372070e+00,2.846677541732788086e+00,2.844413042068481445e+00,2.843056917190551758e+00,2.842115163803100586e+00,2.841348171234130859e+00,2.841339111328125000e+00,2.841566801071166992e+00,2.841193199157714844e+00,2.842173099517822266e+00,2.843657970428466797e+00,2.844556808471679688e+00,2.845465421676635742e+00,2.843822717666625977e+00,2.842627763748168945e+00,2.844469547271728516e+00,2.849562644958496094e+00,2.850269317626953125e+00,2.849279403686523438e+00,2.849887847900390625e+00,2.850303411483764648e+00,2.852109193801879883e+00,2.853111982345581055e+00,2.854236841201782227e+00,2.855536699295043945e+00,2.856916666030883789e+00,2.858125209808349609e+00,2.863282203674316406e+00,2.873491525650024414e+00,2.876490592956542969e+00,2.883452892303466797e+00,2.887767791748046875e+00,2.891719341278076172e+00,2.896772384643554688e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.901618719100952148e+00,2.893398523330688477e+00,2.884557962417602539e+00,2.873534202575683594e+00,2.866574525833129883e+00,2.861803054809570312e+00,2.855284690856933594e+00,2.855846643447875977e+00,2.851971864700317383e+00,2.846518039703369141e+00,2.846071958541870117e+00,2.843994140625000000e+00,2.840787649154663086e+00,2.842204332351684570e+00,2.839806318283081055e+00,2.841507196426391602e+00,2.841679573059082031e+00,2.841931581497192383e+00,2.842949628829956055e+00,2.841993331909179688e+00,2.842915296554565430e+00,2.843862056732177734e+00,2.846669912338256836e+00,2.842979431152343750e+00,2.848070621490478516e+00,2.849904298782348633e+00,2.848284721374511719e+00,2.849151849746704102e+00,2.849725723266601562e+00,2.852518558502197266e+00,2.852694749832153320e+00,2.853718280792236328e+00,2.854643344879150391e+00,2.855911970138549805e+00,2.857273817062377930e+00,2.860501289367675781e+00,2.864998579025268555e+00,2.875426054000854492e+00,2.878743886947631836e+00,2.882727861404418945e+00,2.888050079345703125e+00,2.896687507629394531e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.898427009582519531e+00,2.892771720886230469e+00,2.881974458694458008e+00,2.872083425521850586e+00,2.866774559020996094e+00,2.860688447952270508e+00,2.857615232467651367e+00,2.855164527893066406e+00,2.849479198455810547e+00,2.848623037338256836e+00,2.846060276031494141e+00,2.843225479125976562e+00,2.842194795608520508e+00,2.839563369750976562e+00,2.840203762054443359e+00,2.842255830764770508e+00,2.842583417892456055e+00,2.841142177581787109e+00,2.841682672500610352e+00,2.844504117965698242e+00,2.845327854156494141e+00,2.846252202987670898e+00,2.844779014587402344e+00,2.846794128417968750e+00,2.848099470138549805e+00,2.850276231765747070e+00,2.850828170776367188e+00,2.848196029663085938e+00,2.852583408355712891e+00,2.853240251541137695e+00,2.853422641754150391e+00,2.854357242584228516e+00,2.855411529541015625e+00,2.856652259826660156e+00,2.858616828918457031e+00,2.861971378326416016e+00,2.867289781570434570e+00,2.875716209411621094e+00,2.878163576126098633e+00,2.882008790969848633e+00,2.887726545333862305e+00,2.894711256027221680e+00,2.909455060958862305e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.904591083526611328e+00,2.890128135681152344e+00,2.879724502563476562e+00,2.872012615203857422e+00,2.866948604583740234e+00,2.857765197753906250e+00,2.858869791030883789e+00,2.855166673660278320e+00,2.851832389831542969e+00,2.848796606063842773e+00,2.846441745758056641e+00,2.843495130538940430e+00,2.839673757553100586e+00,2.840634584426879883e+00,2.840991258621215820e+00,2.841156244277954102e+00,2.843472480773925781e+00,2.843941211700439453e+00,2.844486951828002930e+00,2.845257043838500977e+00,2.844100713729858398e+00,2.846864700317382812e+00,2.847466468811035156e+00,2.847090482711791992e+00,2.848345994949340820e+00,2.850783348083496094e+00,2.851239919662475586e+00,2.852417945861816406e+00,2.853250741958618164e+00,2.853977680206298828e+00,2.854304075241088867e+00,2.855175733566284180e+00,2.856205224990844727e+00,2.857678413391113281e+00,2.859859943389892578e+00,2.864139080047607422e+00,2.873145580291748047e+00,2.875839233398437500e+00,2.878496170043945312e+00,2.882027626037597656e+00,2.887286186218261719e+00,2.893674850463867188e+00,2.904658794403076172e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.904262781143188477e+00,2.888393163681030273e+00,2.878376960754394531e+00,2.872202634811401367e+00,2.867250442504882812e+00,2.858212232589721680e+00,2.859093666076660156e+00,2.854640722274780273e+00,2.852215051651000977e+00,2.849469184875488281e+00,2.847179651260375977e+00,2.841738939285278320e+00,2.844170570373535156e+00,2.843739032745361328e+00,2.843744754791259766e+00,2.843945026397705078e+00,2.844374418258666992e+00,2.844766855239868164e+00,2.845334291458129883e+00,2.846000671386718750e+00,2.846677064895629883e+00,2.847410917282104492e+00,2.848114490509033203e+00,2.847283840179443359e+00,2.848201513290405273e+00,2.851290464401245117e+00,2.851665973663330078e+00,2.853023767471313477e+00,2.853914976119995117e+00,2.854779720306396484e+00,2.855447053909301758e+00,2.856227636337280273e+00,2.857262372970581055e+00,2.858617544174194336e+00,2.860954761505126953e+00,2.867319822311401367e+00,2.873444318771362305e+00,2.876209974288940430e+00,2.879336595535278320e+00,2.882605552673339844e+00,2.886709690093994141e+00,2.893552541732788086e+00,2.901994705200195312e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.903006553649902344e+00,2.886872053146362305e+00,2.878338813781738281e+00,2.872394323348999023e+00,2.867729187011718750e+00,2.858460664749145508e+00,2.856852293014526367e+00,2.855200290679931641e+00,2.852988719940185547e+00,2.850413560867309570e+00,2.845909595489501953e+00,2.845020771026611328e+00,2.843321323394775391e+00,2.844700336456298828e+00,2.844815969467163086e+00,2.844969034194946289e+00,2.845276355743408203e+00,2.845656156539916992e+00,2.846200704574584961e+00,2.846797943115234375e+00,2.845613241195678711e+00,2.846112728118896484e+00,2.846603870391845703e+00,2.847613573074340820e+00,2.848646879196166992e+00,2.851961851119995117e+00,2.852496862411499023e+00,2.853800296783447266e+00,2.854623079299926758e+00,2.855641126632690430e+00,2.856514453887939453e+00,2.857314109802246094e+00,2.858320713043212891e+00,2.859884500503540039e+00,2.862192630767822266e+00,2.869743108749389648e+00,2.874163150787353516e+00,2.876933336257934570e+00,2.879872560501098633e+00,2.883270025253295898e+00,2.887348890304565430e+00,2.893310070037841797e+00,2.899899959564208984e+00,2.917784929275512695e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.903340101242065430e+00,2.886120557785034180e+00,2.878668069839477539e+00,2.873068809509277344e+00,2.868137598037719727e+00,2.863284826278686523e+00,2.858970165252685547e+00,2.856809616088867188e+00,2.854106903076171875e+00,2.849354505538940430e+00,2.848964929580688477e+00,2.846054792404174805e+00,2.844646453857421875e+00,2.845643520355224609e+00,2.845902919769287109e+00,2.846029996871948242e+00,2.846238613128662109e+00,2.846637487411499023e+00,2.847090482711791992e+00,2.847680330276489258e+00,2.848287105560302734e+00,2.849019050598144531e+00,2.849296331405639648e+00,2.849300384521484375e+00,2.851401805877685547e+00,2.852645635604858398e+00,2.853531837463378906e+00,2.854693651199340820e+00,2.855632066726684570e+00,2.856694221496582031e+00,2.857454061508178711e+00,2.858463525772094727e+00,2.859577894210815430e+00,2.861383199691772461e+00,2.865036010742187500e+00,2.870470046997070312e+00,2.874887228012084961e+00,2.877298593521118164e+00,2.880182027816772461e+00,2.883448123931884766e+00,2.887837886810302734e+00,2.892678260803222656e+00,2.899184942245483398e+00,2.910298585891723633e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.904473543167114258e+00,2.887563228607177734e+00,2.879695177078247070e+00,2.873772859573364258e+00,2.868425369262695312e+00,2.864285469055175781e+00,2.859252452850341797e+00,2.855641126632690430e+00,2.852472066879272461e+00,2.852478981018066406e+00,2.850089311599731445e+00,2.848272562026977539e+00,2.847616910934448242e+00,2.847039222717285156e+00,2.847018480300903320e+00,2.847047567367553711e+00,2.847229242324829102e+00,2.847619771957397461e+00,2.848049640655517578e+00,2.848563194274902344e+00,2.849132537841796875e+00,2.849876165390014648e+00,2.850063085556030273e+00,2.850522756576538086e+00,2.852218151092529297e+00,2.853560447692871094e+00,2.854562044143676758e+00,2.855518579483032227e+00,2.856734752655029297e+00,2.857661485671997070e+00,2.858848571777343750e+00,2.859824419021606445e+00,2.861170053482055664e+00,2.862952947616577148e+00,2.866447687149047852e+00,2.873270034790039062e+00,2.875353097915649414e+00,2.877602338790893555e+00,2.880235910415649414e+00,2.883565664291381836e+00,2.887283563613891602e+00,2.892552137374877930e+00,2.898510456085205078e+00,2.907170057296752930e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.906905651092529297e+00,2.888893365859985352e+00,2.881022453308105469e+00,2.875065565109252930e+00,2.869378089904785156e+00,2.865051984786987305e+00,2.859828948974609375e+00,2.855445146560668945e+00,2.855855941772460938e+00,2.853670358657836914e+00,2.851469516754150391e+00,2.850105047225952148e+00,2.849147081375122070e+00,2.848496913909912109e+00,2.848151206970214844e+00,2.848165988922119141e+00,2.848220586776733398e+00,2.848648548126220703e+00,2.849076032638549805e+00,2.849546909332275391e+00,2.850126028060913086e+00,2.850827693939208984e+00,2.851161956787109375e+00,2.850940942764282227e+00,2.853320837020874023e+00,2.854583024978637695e+00,2.855640649795532227e+00,2.856719017028808594e+00,2.857870817184448242e+00,2.858965158462524414e+00,2.860227584838867188e+00,2.861388444900512695e+00,2.862858533859252930e+00,2.864604949951171875e+00,2.868122100830078125e+00,2.874092578887939453e+00,2.875711441040039062e+00,2.877656221389770508e+00,2.880423545837402344e+00,2.883606195449829102e+00,2.887468576431274414e+00,2.892341852188110352e+00,2.898032426834106445e+00,2.906797885894775391e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.910613059997558594e+00,2.892435073852539062e+00,2.882992267608642578e+00,2.876658916473388672e+00,2.871032238006591797e+00,2.866645812988281250e+00,2.862453222274780273e+00,2.859775543212890625e+00,2.857744216918945312e+00,2.855160713195800781e+00,2.852544784545898438e+00,2.849715232849121094e+00,2.848719120025634766e+00,2.849586009979248047e+00,2.849400043487548828e+00,2.849286317825317383e+00,2.849567174911499023e+00,2.849907398223876953e+00,2.850140571594238281e+00,2.850590229034423828e+00,2.851124048233032227e+00,2.851779937744140625e+00,2.852261543273925781e+00,2.851359128952026367e+00,2.854424476623535156e+00,2.855606317520141602e+00,2.856720447540283203e+00,2.857936859130859375e+00,2.859135150909423828e+00,2.860587120056152344e+00,2.861810684204101562e+00,2.863032341003417969e+00,2.864633798599243164e+00,2.866437196731567383e+00,2.869849443435668945e+00,2.874668359756469727e+00,2.876406431198120117e+00,2.878368139266967773e+00,2.880649566650390625e+00,2.883744239807128906e+00,2.888071298599243164e+00,2.891924619674682617e+00,2.896365880966186523e+00,2.904242277145385742e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
